tag,tflite_path,fl_qat,distillation,pruning,ptq,fl_acc,fl_f1,fl_prec,fl_rec,fl_size_kb,dist_acc,dist_f1,prune_acc,prune_f1,final_acc,final_f1,final_prec,final_rec,tflite_size_kb,final_size_kb,at_enabled,at_attack,pgd_adv_acc,pgd_success_rate,ratio_sweep_f1_50_50
yes_qat__distill_direct__prune_none__ptq_no,models/tflite/yes_qat_distill_direct_prune_none_ptq_no.tflite,True,direct,prune_none,False,0.42972699696663297,0.06312292358803986,0.04578313253012048,0.10160427807486631,823.46875,0.9130434782608695,0.8063063063063064,0.9130434782608695,0.8063063063063064,0.9130434782608695,0.8063063063063064,0.6964980544747081,0.9572192513368984,1.5195,1.5195,True,pgd,,,
yes_qat__distill_direct__prune_none__ptq_yes,models/tflite/yes_qat_distill_direct_prune_none_ptq_yes.tflite,True,direct,prune_none,True,0.42972699696663297,0.06312292358803986,0.04578313253012048,0.10160427807486631,823.46875,0.9130434782608695,0.8063063063063064,0.9130434782608695,0.8063063063063064,0.9029322548028311,0.7192982456140352,0.7935483870967742,0.6577540106951871,1.8125,1.8125,True,pgd,,,
yes_qat__distill_direct__prune_10x5__ptq_no,models/tflite/yes_qat_distill_direct_prune_10x5_ptq_no.tflite,True,direct,prune_10x5,False,0.42972699696663297,0.06312292358803986,0.04578313253012048,0.10160427807486631,823.46875,0.9130434782608695,0.8063063063063064,0.9039433771486349,0.7921225382932167,0.9039433771486349,0.7921225382932167,0.6703703703703704,0.9679144385026738,1.5352,1.5352,True,pgd,,,
yes_qat__distill_direct__prune_10x5__ptq_yes,models/tflite/yes_qat_distill_direct_prune_10x5_ptq_yes.tflite,True,direct,prune_10x5,True,0.42972699696663297,0.06312292358803986,0.04578313253012048,0.10160427807486631,823.46875,0.9130434782608695,0.8063063063063064,0.9039433771486349,0.7921225382932167,0.9261880687563195,0.8232445520581113,0.7522123893805309,0.9090909090909091,1.8125,1.8125,True,pgd,,,
yes_qat__distill_direct__prune_10x2__ptq_no,models/tflite/yes_qat_distill_direct_prune_10x2_ptq_no.tflite,True,direct,prune_10x2,False,0.42972699696663297,0.06312292358803986,0.04578313253012048,0.10160427807486631,823.46875,0.9130434782608695,0.8063063063063064,0.9039433771486349,0.7921225382932167,0.9039433771486349,0.7921225382932167,0.6703703703703704,0.9679144385026738,1.5352,1.5352,True,pgd,,,
yes_qat__distill_direct__prune_10x2__ptq_yes,models/tflite/yes_qat_distill_direct_prune_10x2_ptq_yes.tflite,True,direct,prune_10x2,True,0.42972699696663297,0.06312292358803986,0.04578313253012048,0.10160427807486631,823.46875,0.9130434782608695,0.8063063063063064,0.9039433771486349,0.7921225382932167,0.9251769464105156,0.821256038647343,0.748898678414097,0.9090909090909091,1.8125,1.8125,True,pgd,,,
yes_qat__distill_direct__prune_5x10__ptq_no,models/tflite/yes_qat_distill_direct_prune_5x10_ptq_no.tflite,True,direct,prune_5x10,False,0.42972699696663297,0.06312292358803986,0.04578313253012048,0.10160427807486631,823.46875,0.9130434782608695,0.8063063063063064,0.9039433771486349,0.7921225382932167,0.9039433771486349,0.7921225382932167,0.6703703703703704,0.9679144385026738,1.5391,1.5391,True,pgd,,,
yes_qat__distill_direct__prune_5x10__ptq_yes,models/tflite/yes_qat_distill_direct_prune_5x10_ptq_yes.tflite,True,direct,prune_5x10,True,0.42972699696663297,0.06312292358803986,0.04578313253012048,0.10160427807486631,823.46875,0.9130434782608695,0.8063063063063064,0.9029322548028311,0.7894736842105263,0.9251769464105156,0.821256038647343,0.748898678414097,0.9090909090909091,1.8125,1.8125,True,pgd,,,
yes_qat__distill_progressive__prune_none__ptq_no,models/tflite/yes_qat_distill_progressive_prune_none_ptq_no.tflite,True,progressive,prune_none,False,0.42972699696663297,0.06312292358803986,0.04578313253012048,0.10160427807486631,823.46875,0.910010111223458,0.8035320088300221,0.910010111223458,0.8035320088300221,0.910010111223458,0.8035320088300221,0.6842105263157895,0.9732620320855615,1.5391,1.5391,True,pgd,,,
yes_qat__distill_progressive__prune_none__ptq_yes,models/tflite/yes_qat_distill_progressive_prune_none_ptq_yes.tflite,True,progressive,prune_none,True,0.42972699696663297,0.06312292358803986,0.04578313253012048,0.10160427807486631,823.46875,0.910010111223458,0.8035320088300221,0.910010111223458,0.8035320088300221,0.9292214357937311,0.8341232227488151,0.7489361702127659,0.9411764705882353,1.8125,1.8125,True,pgd,,,
yes_qat__distill_progressive__prune_10x5__ptq_no,models/tflite/yes_qat_distill_progressive_prune_10x5_ptq_no.tflite,True,progressive,prune_10x5,False,0.42972699696663297,0.06312292358803986,0.04578313253012048,0.10160427807486631,823.46875,0.910010111223458,0.8035320088300221,0.9120323559150657,0.8070953436807097,0.9120323559150657,0.8070953436807097,0.6893939393939394,0.9732620320855615,1.5508,1.5508,True,pgd,,,
yes_qat__distill_progressive__prune_10x5__ptq_yes,models/tflite/yes_qat_distill_progressive_prune_10x5_ptq_yes.tflite,True,progressive,prune_10x5,True,0.42972699696663297,0.06312292358803986,0.04578313253012048,0.10160427807486631,823.46875,0.910010111223458,0.8035320088300221,0.9130434782608695,0.8088888888888889,0.9251769464105156,0.8262910798122066,0.7364016736401674,0.9411764705882353,1.8281,1.8281,True,pgd,,,
yes_qat__distill_progressive__prune_10x2__ptq_no,models/tflite/yes_qat_distill_progressive_prune_10x2_ptq_no.tflite,True,progressive,prune_10x2,False,0.42972699696663297,0.06312292358803986,0.04578313253012048,0.10160427807486631,823.46875,0.910010111223458,0.8035320088300221,0.9110212335692619,0.8053097345132743,0.9110212335692619,0.8053097345132743,0.6867924528301886,0.9732620320855615,1.5508,1.5508,True,pgd,,,
yes_qat__distill_progressive__prune_10x2__ptq_yes,models/tflite/yes_qat_distill_progressive_prune_10x2_ptq_yes.tflite,True,progressive,prune_10x2,True,0.42972699696663297,0.06312292358803986,0.04578313253012048,0.10160427807486631,823.46875,0.910010111223458,0.8035320088300221,0.9120323559150657,0.8070953436807097,0.9251769464105156,0.8262910798122066,0.7364016736401674,0.9411764705882353,1.8281,1.8281,True,pgd,,,
yes_qat__distill_progressive__prune_5x10__ptq_no,models/tflite/yes_qat_distill_progressive_prune_5x10_ptq_no.tflite,True,progressive,prune_5x10,False,0.42972699696663297,0.06312292358803986,0.04578313253012048,0.10160427807486631,823.46875,0.910010111223458,0.8035320088300221,0.9110212335692619,0.8053097345132743,0.9110212335692619,0.8053097345132743,0.6867924528301886,0.9732620320855615,1.5508,1.5508,True,pgd,,,
yes_qat__distill_progressive__prune_5x10__ptq_yes,models/tflite/yes_qat_distill_progressive_prune_5x10_ptq_yes.tflite,True,progressive,prune_5x10,True,0.42972699696663297,0.06312292358803986,0.04578313253012048,0.10160427807486631,823.46875,0.910010111223458,0.8035320088300221,0.9120323559150657,0.8070953436807097,0.9251769464105156,0.8262910798122066,0.7364016736401674,0.9411764705882353,1.8281,1.8281,True,pgd,,,
